날짜,종가,시가,고가,저가,거래량,변동 %,일간수익률,누적수익률,연환산변동성,고점대비하락률
2010-07-07,1060.3,1028.5,1060.9,1028.5,,3.13,0.031319910514541416,-0.2713716327652542,0.23224270572253325,-0.3225785842064912
2010-07-08,1070.2,1062.9,1071.2,1058.2,,0.93,0.009336980099971859,-0.2645684442001084,0.2313993343523019,-0.31625351392793255
2010-07-09,1078.0,1070.5,1078.2,1068.1,,0.73,0.007288357316389327,-0.25920835623969063,0.2313245857747461,-0.31127012522361364
2010-07-12,1078.8,1077.2,1080.8,1070.5,,0.07,0.0007421150278292821,-0.2586586036283658,0.2070798000898983,-0.3107590084334271
2010-07-13,1095.3,1080.7,1099.5,1080.7,,1.53,0.015294771968854315,-0.24731995601978962,0.21351115579505506,-0.30021722463582934
2010-07-14,1095.2,1095.6,1099.1,1087.7,,-0.01,-9.129918743711052e-05,-0.2473886750962051,0.21338265908653062,-0.3002811142346026
2010-07-15,1096.5,1094.5,1098.7,1080.5,,0.12,0.0011869978086194166,-0.2464953271028021,0.19616724725092147,-0.2994505494505495
2010-07-16,1064.9,1093.8,1093.8,1063.3,,-2.88,-0.028818969448244358,-0.2682105552501358,0.2189542421436159,-0.31963966266291843
2010-07-19,1071.2,1066.8,1074.7,1061.1,,0.59,0.005916048455254064,-0.26388125343595215,0.22043859798109794,-0.3156146179401993
2010-07-20,1083.5,1064.5,1083.9,1056.9,,1.15,0.011482449589245602,-0.2554288070368318,0.22504320558956867,-0.30775619729108106
2010-07-21,1069.6,1086.7,1089.0,1065.2,,-1.28,-0.012828795569912455,-0.26498075865860216,0.22841227172205275,-0.3166368515205725
2010-07-22,1093.7,1072.1,1097.5,1072.1,,2.25,0.02253178758414376,-0.2484194612424393,0.23700176840759724,-0.30123945821620235
2010-07-23,1102.7,1092.2,1103.7,1087.9,,0.82,0.008228947609033588,-0.24223474436503412,0.23837456687809352,-0.2954893943266036
2010-07-26,1115.0,1102.9,1115.0,1101.3,,1.12,0.011154439104017477,-0.23378229796591365,0.23233960703976908,-0.28763097367748536
2010-07-27,1113.8,1117.4,1121.0,1109.8,,-0.11,-0.0010762331838565231,-0.23460692688290108,0.23253327823091471,-0.2883976488627652
2010-07-28,1106.1,1112.8,1114.7,1103.1,,-0.69,-0.006913269886873796,-0.23989829576690336,0.23413088666251833,-0.2933171479683109
2010-07-29,1101.5,1108.1,1115.9,1092.8,,-0.42,-0.0041587559895126525,-0.24305937328202154,0.20352775707694234,-0.29625606951188344
2010-07-30,1101.6,1098.4,1106.4,1088.0,,0.01,9.078529278250258e-05,-0.24299065420560595,0.19842315431720645,-0.2961921799131102
2010-08-02,1125.9,1107.5,1127.3,1107.5,,2.21,0.02205882352941191,-0.2262919186366118,0.20718044190317148,-0.28066700741119344
2010-08-03,1120.5,1125.3,1125.4,1116.8,,-0.48,-0.004796163069544446,-0.23000274876305493,0.2072497660046406,-0.2841170457449528
2010-08-04,1127.2,1121.1,1128.8,1119.5,,0.6,0.005979473449353012,-0.22539857064320878,0.20729435804172944,-0.27983644262714025
2010-08-05,1125.8,1125.8,1126.6,1118.8,,-0.12,-0.0012420156139106853,-0.2263606377130275,0.18347916564253233,-0.2807308970099668
2010-08-06,1121.6,1122.1,1123.1,1107.2,,-0.37,-0.003730680405045317,-0.2292468389224832,0.18330672137315435,-0.2834142601584463
2010-08-09,1127.8,1122.8,1129.2,1120.9,,0.55,0.005527817403709001,-0.22498625618471524,0.18280381317385694,-0.2794531050345004
2010-08-10,1121.1,1122.9,1127.2,1111.6,,-0.59,-0.005940769640007115,-0.22959043430456139,0.18493620187361137,-0.2837337081523129
2010-08-11,1089.5,1116.9,1116.9,1088.5,,-2.82,-0.028186602444028153,-0.2513056624518951,0.20544967305940387,-0.30392282136468185
2010-08-12,1083.6,1081.5,1086.7,1076.7,,-0.54,-0.005415328132170827,-0.2553600879604164,0.2062493514124279,-0.3076923076923078
2010-08-13,1079.2,1082.2,1086.2,1079.0,,-0.41,-0.004060538944259728,-0.2583837273227033,0.20653307217741051,-0.3105034500383338
2010-08-16,1079.4,1077.5,1082.6,1069.5,,0.02,0.00018532246108238226,-0.258246289169872,0.17939070584828432,-0.3103756708407871
2010-08-17,1092.5,1081.2,1100.1,1081.2,,1.21,0.012136372058551004,-0.24924409015942672,0.18292666434305374,-0.3020061334014823
2010-08-18,1094.2,1092.1,1099.8,1085.8,,0.16,0.001556064073226615,-0.24807586586036123,0.17894902349734423,-0.30092001022233583
2010-08-19,1075.6,1092.4,1092.4,1070.7,,-1.7,-0.01699872052641216,-0.26085761407366537,0.18339857140953478,-0.3128034755941733
2010-08-20,1071.7,1075.6,1075.6,1063.9,,-0.36,-0.0036258832279656428,-0.2635376580538742,0.16495732450038647,-0.3152951699463328
2010-08-23,1067.4,1073.4,1081.6,1067.1,,-0.4,-0.00401231687972381,-0.2664925783397456,0.16182769483361537,-0.3180424226935854
2010-08-24,1051.9,1063.2,1063.2,1046.7,,-1.45,-0.014521266629192398,-0.27714403518416564,0.16097301600026484,-0.32794531050345
2010-08-25,1055.3,1049.0,1059.4,1039.8,,0.32,0.003232246411255746,-0.2748075865860349,0.16221486108086638,-0.32577306414515717
2010-08-26,1047.2,1056.3,1061.5,1045.4,,-0.77,-0.007675542499762988,-0.2803738317756994,0.16249646998152806,-0.330948121645796
2010-08-27,1064.6,1049.3,1065.2,1039.7,,1.66,0.01661573720397236,-0.2684167124793828,0.17533691769103413,-0.3198313314592385
